Movie Name, IMDb Rating, Popularity, Release Date, Box Office, Runtime, Genre, Director, Cast, Production Company, Country, Language
SR Kalyana Mandapam,5.6,,"August 6, 2021 (India)",,2 hours 40 minutes,"['Action', 'Romance']",['Sridhar Gade'],"['Kiran Abbavaram', 'Rajsekhar Aningi', 'Priyanka Jawalkar']",[],India,['Telugu']
Untitled Vidyut Jamwal film,,,,,,[],['Tarun Mansukhani'],[],[],,['Hindi']
The Missing Stone,5.3,,"December 25, 2020 (India)",,25 minutes,['Thriller'],[],"['Bidita Bag', 'Barun Sobti', 'Rashi Mal']",[],India,['Hindi']
Be Aabroo,5.9,,,,,['Action'],['Shiv Kumar'],"['Bandini Mishra', 'Raj Shekhar', 'Apeksha']",[],,['Hindi']
Ninnu Kori,7.5,,"July 7, 2017 (India)","$149,229",2 hours 17 minutes,"['Comedy', 'Romance']",['Shiva Nirvana'],"['Nani', 'Nivetha Thomas', 'Aadhi']","['DVV Entertainment', 'Kona Film Corporation']",India,['Telugu']
Mili,7.4,,"June 20, 1975 (India)",,2 hours 30 minutes,"['Drama', 'Romance', 'Family']",['Hrishikesh Mukherjee'],"['Jaya Bachchan', 'Amitabh Bachchan', 'Usha Kiran']",[],India,['Hindi']
Aap Kaa Surroor: The Moviee - The Real Luv Story,2.4,,,"$5,262,711",2 hours 7 minutes,"['Drama', 'Romance', 'Thriller']","['Prashant Chadha', 'Nitish Sharma']","['Himesh Reshammiya', 'Hansika Motwani', 'Mallika Sherawat']","['Action Concept Film- und Stuntproduktion', 'Picture Perfect']",,['Hindi']
Kanchenjungha,7.9,,,,1 hour 42 minutes,['Drama'],['Satyajit Ray'],"['Chhabi Biswas', 'Karuna Bannerjee', 'Pahadi Sanyal']",[],,['Bengali']
Ithu Thaanda Police,3.4,,,,2 hours 4 minutes,['Comedy'],['Manoj Palodan'],"['Asif Ali', 'Janani Iyer', 'Abhirami']",[],,['Malayalam']
Mentalhood,5.9,,"March 10, 2020 (India)",,24 minutes,['Drama'],[],"['Karisma Kapoor', 'Sanjay Suri', 'Shilpa Shukla']","['ALTBalaji', 'Zee5']",India,['Hindi']
Mrigaya,8.0,,,,2 hours 22 minutes,"['Adventure', 'Drama']",['I.V. Sasi'],"['Mammootty', 'Thilakan', 'Sunitha']",[],,['Malayalam']
Sasural Simar Ka 2,4.5,,,,,"['Drama', 'Thriller']",[],"['Radhika Muthukumar', 'Tanya Sharma', 'Karan Sharma']",[],,['Hindi']
Benudar Tension,4.4,,"April 19, 2023 (India)",,,['Thriller'],[],[],[],India,['Bengali']
Enjoy,6.8,,"December 23, 2022 (India)",,2 hours 20 minutes,['Romance'],['Perumal Kasi'],"['Sai Dhanyaa', 'Madhan Kumar', 'Niranjana Neithiar']",[],India,['Tamil']
NTR Mahanayakudu,5.4,,,"$22,837",2 hours 8 minutes,"['Biography', 'Drama']",['Radha Krishna Jagarlamudi'],"['Nandamuri Balakrishna', 'Sumanth', 'Krishna Akkulu']","['NBK Films', 'Vaarahi Chalana Chitram', 'Vibri Media']",,['Telugu']
Nayakan,6.5,,,,2 hours 19 minutes,['Action'],['Lijo Jose Pellissery'],"['Indrajith Sukumaran', 'Siddique', 'Thilakan']",[],,['Malayalam']
Jivan Sandhya,8.2,,,,2 hours 19 minutes,"['Drama', 'Family']",['Deepak Prabhakar Mandade'],"['Ashok Saraf', 'Kishori Shahane', 'Ruchita Jadhav']","['Dreamlines Productions', 'Phoenix Films']",,['Marathi']
Kaalamellam Kaathiruppen,7.3,,"January 14, 1997 (India)",,,"['Drama', 'Romance']",['R. Sundarajan'],"['Joseph Vijay', 'Charlie', 'Dimple']",[],India,['Tamil']
Monica,5.3,,,,2 hours 4 minutes,"['Biography', 'Drama', 'Thriller']",['Sushen Bhatnagar'],"['Ashutosh Rana', 'Divya Dutta', 'Rajit Kapoor']","['Ark Widescreen Films', 'Aryapratimma Films', 'J. Media']",,"['Hindi', 'English']"
Article 21,9.3,,"July 28, 2023 (India)",,2 hours 7 minutes,['Drama'],['Lenin Balakrishnan'],"['Joju George', 'Lenaa', 'Leswin']",[],India,['Malayalam']
Kelor Kirti,4.3,,"July 6, 2016 (India)",,2 hours 34 minutes,['Comedy'],['Raja Chanda'],"['Amit Kumar Adhikari', 'Sayantika Banerjee', 'Biswajit Chakraborty']",[],India,[]
Jetty,6.7,,,,2 hours 14 minutes,"['Action', 'Drama', 'Family']",['Subrahmanyam Pitchuka'],"['Nandita Shwetha', 'Kishore Kumar G.', 'Mime Gopi']",[],,"['Tamil', 'Telugu']"
3 Monkeys,,,,,,"['Action', 'Thriller']","['Abbas Alibhai Burmawalla', 'Mastan Alibhai Burmawalla']","['Arjun Rampal', 'Priya Prakash Varrier', 'Arpit Ranka']",[],India,['Hindi']
